Артикул_ВБ	Название	Заказов_июнь_2026	Остаток_по_РФ_сейчас	Дней_запаса	Маржа_на_ед	Статус
198143251	Manyo_Ampoule_Lotion	120	13	3.2	512₽/шт	КРИТИЧНО — заказать поставку срочно
151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	160	23	4.3	390₽/шт	КРИТИЧНО — заказать поставку срочно
207483179	JIGOTT - Snail Reparing Cream [100ml]	160	29	5.4	32₽/шт	КРИТИЧНО — заказать поставку срочно
169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	125	27	6.5	191₽/шт	КРИТИЧНО — заказать поставку срочно
170198337	Enough 8 Peptide Full Cover Perfect Foundation 21 тон	272	67	7.4	407₽/шт	КРИТИЧНО — заказать поставку срочно
333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	327	82	7.5	265₽/шт	КРИТИЧНО — заказать поставку срочно
151175877	Petitfee Agave Cooling Hydrogel Eye Mask	113	42	11.2	273₽/шт	КРИТИЧНО — заказать поставку срочно
868516027	Celimax Dual Barrier Creamy Toner	3123	1330	12.8	168₽/шт	КРИТИЧНО — заказать поставку срочно
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	199	98	14.8	515₽/шт	Низкий запас — заказать в ближайшие 1-2 нед
168956391	FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	1520	945	18.7	411₽/шт	Низкий запас — заказать в ближайшие 1-2 нед
214964091	JMSOLUTION - Mask Pack Disney	130	81	18.7	45₽/шт	Низкий запас — заказать в ближайшие 1-2 нед
198156472	Manyo_Galac_Vita_Serum	172	114	19.9	939₽/шт	Низкий запас — заказать в ближайшие 1-2 нед
