nm,Артикул продавца,Название,Предмет,Бренд,ordered_units,bought_units,current_stock,missed_buyouts_raw_sum,missed_buyouts_dedup,missed_buyouts_amount_dedup,deficit_warehouse_rows,cost,net_units,profit_per_unit_after_cogs_before_storage_ads,profit_after_cogs_before_storage_ads,Категория,Хранение_период,Хранение_месяц30,Косметика,Переплата_ИРП_период,Переплата_ИРП_месяц,storage_per_sold_unit,profit_per_unit_after_storage_before_ads,missed_profit_dedup,known_positive_economy
18406590,LK88Blue,Пульсоксиметр на палец медицинский,Пульсоксиметры,Коронавирус сегодня,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
48905926,dm7dm1,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,291.75,0.0,,0.0,,,,,,,0.0,,,False
48906211,dm7dm2,Дед Мороз Игрушка / Фигурка Дед Мороз / 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
48906308,dm7dm3,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,3,291.75,1.0,-359.22,-359.22,Декор интерьера,0.78336,0.4051862068965517,False,4.056,2.2533333333333334,0.78336,-360.00336000000004,-0.0,False
48906602,dm7dm4,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
48906952,dm7dm5,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,4,291.75,0.0,,0.0,,,,,,,0.0,,,False
48908708,dm7dm6,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,1,0.0,0.0,0.0,3,291.75,1.0,52.55000000000001,52.55000000000001,Декор интерьера,5.441196288,2.8144118731034484,False,4.698,2.6100000000000003,5.441196288,47.10880371200001,0.0,True
48909005,dm7dm7,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
59729264,NAUSHNIK/DETY/ROSE/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0.0,0.0,0.0,2,,,,,,,,,,,0.0,,,False
59758721,NAUSHNIK/DETY/BLACK/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0.0,0.0,0.0,6,,,,,,,,,,,0.0,,,False
59758722,NAUSHNIK/DETY/BLUE/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0.0,0.0,0.0,2,,,,,,,,,,,0.0,,,False
59758723,NAUSHNIK/DETY/MENTOL/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0.0,0.0,0.0,4,,1.0,,,,,,False,2.334,1.2966666666666669,0.0,,,False
59758724,NAUSHNIK/DETY/SIREN/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0.0,0.0,0.0,3,,,,,,,,,,,0.0,,,False
78053293,ushi2,Беспроводные наушники PRO 5 S,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
78454688,i12,Беспроводные наушники,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,5,,,,,,,,,,,0.0,,,False
78454766,pro4white,Беспроводные наушники PRO 4,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,2,,,,,,,,,,,0.0,,,False
78454814,pro4black,Беспроводные наушники PRO 4 BLACK,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,5,,,,,,,,,,,0.0,,,False
78836747,i100,Беспроводные наушники Pods,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,4,,,,,,,,,,,0.0,,,False
78838371,PRO,Беспроводные наушники PRO,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,7,,,,,,,,,,,0.0,,,False
79868118,m10,Беспроводные наушники M10,Наушники,SKL TECH,0,0,0,0.0,0.0,0.0,6,,,,,,,,,,,0.0,,,False
80222900,f--9,Беспроводные наушники F-9,Наушники,SKL TECH,0,0,0,0.0,0.0,0.0,5,,,,,,,,,,,0.0,,,False
80222948,f9tws,Беспроводные наушники F-9 TWS,Наушники,SKL TECH,0,0,0,0.0,0.0,0.0,4,,,,,,,,,,,0.0,,,False
93302814,hocopro2,Беспроводные наушники Pods 2,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
94237840,м19,Беспроводные наушники M19,Наушники,SKL TECH,0,0,0,0.0,0.0,0.0,2,,,,,,,,,,,0.0,,,False
100680843,sBotW120_100680843,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,131,111,1,755.1999999999999,37.76,179722.5,20,2517.3661764705885,558.0,595.8621389415978,332491.0735294116,Бытовая техника,3459.23634,1789.2601758620688,False,16920.49014,9400.2723,6.199348279569892,589.6627906620279,22265.66697539817,True
100680844,sBotW100_100680844,Робот мойщик окон мощный,Роботы-стеклоочистители,SKL TECH,1,1,0,0.0,0.0,0.0,18,2458.463643790847,121.0,491.5756950521282,59480.65910130751,Бытовая техника,51.3384102,26.554350103448275,False,3553.5004200000003,1974.1669,0.4242843818181818,491.15141067031004,0.0,True
102254770,hot /2х2/,Гирлянда штора на Новый Год 2х2 согревающий желтый,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,5,,,,,,,,,,,0.0,,,False
102255837,hot /3х2/,Новогодняя гирлянда штора 3х2 желтая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,3,,,,,,,,,,,0.0,,,False
102256288,hot /3х3/,Гирлянда штора на Новый Год 3х3 желтая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,5,,0.0,,,,,,,,,0.0,,,False
102258119,white /1.5х1.5/,"Новогодняя гирлянда штора на окно 1,5х1,5 белая",Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,3,,,,,,,,,,,0.0,,,False
102258255,white /2х2/,Новогодняя гирлянда на окно 2х2 холодный белый,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,4,,,,,,,,,,,0.0,,,False
102258636,white /3х2/,Новогодняя гирлянда штора 3х2 белая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,6,,,,,,,,,,,0.0,,,False
102259020,white /3х3/,Гирлянда штора 3х3 на Новый Год белая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,6,,1.0,,,Для праздника,0.14336,0.074151724137931,False,2.7840000000000003,1.5466666666666669,0.14336,,,False
102261589,multi /1.5х1.5/,"Гирлянда штора на Новый Год мультиколор 1,5х1,5",Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,4,,,,,,,,,,,0.0,,,False
102263707,multi /2х2/,Гирлянда штора 2х2 на Новый Год разноцветная,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,3,,,,,,,,,,,0.0,,,False
102264249,multi  /3х2/,Новогодняя гирлянда штора 3х2 разноцветная с удлинителем,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,2,,,,,,,,,,,0.0,,,False
102264744,multi  /3х3/,Гирлянда штора 3х3 разноцветная,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0.0,0.0,0.0,5,,0.0,,,,,,,,,0.0,,,False
103426811,dm7dm8,Дед Мороз Игрушка / Фигурка Дед Мороз / 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
103431353,dm7dm9,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,1,1,1,0.0,0.0,0.0,2,291.75,1.0,-285.44,-285.44,Декор интерьера,32.07168,16.5888,False,3.972,2.2066666666666666,32.07168,-317.51168,-0.0,False
103431810,dm7dm10,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,1,1,0,0.0,0.0,0.0,6,291.75,5.0,-40.63000000000002,-203.1500000000001,Декор интерьера,0.48790896,0.2523667034482758,False,20.57982,11.433233333333332,0.097581792,-40.72758179200002,-0.0,False
103441912,dm7dm12,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,4,291.75,1.0,-362.23,-362.23,Декор интерьера,0.73728,0.381351724137931,False,4.26306,2.3683666666666667,0.73728,-362.96728,-0.0,False
103442522,dm7dm13,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,2,291.75,0.0,,-310.95,,,,,,,0.0,,,False
103442628,dm7dm14,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
103442939,dm7dm15,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед мороз под елку,0,0,0,0.0,0.0,0.0,4,,,,,,,,,,,0.0,,,False
104590122,dm7dm11,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,2,1,0,0.0,0.0,0.0,10,291.75,7.0,-233.8742857142857,-1637.12,Декор интерьера,4.33152,2.240441379310345,False,34.10538,18.947433333333333,0.6187885714285715,-234.49307428571427,-0.0,False
105911397,i100_v2,Беспроводные наушники Pods,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
122223609,P36_122223609_122223609,Наушники беспроводные К-55,Наушники,Xiaomi,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
133070643,СГ3Б,Снегурочка Игрушка / Фигурка Снегурочка / 30 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
133070645,СГ2Б,Снегурочка Игрушка / Фигурка Снегурочка / 41 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
133070647,СГ3К,Снегурочка Игрушка / Фигурка Снегурочка / 30 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
133070648,СГ1С,Снегурочка Игрушка / Фигурка Снегурочка / 23 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
133070650,СГ1Б,Снегурочка Игрушка / Фигурка Снегурочка / 23 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,2,,,,,,,,,,,0.0,,,False
133070651,СГ1К,Снегурочка Игрушка / Фигурка Снегурочка / 23 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
144518874,Маски100шт,Маски медицинские одноразовые трехслойные защитные для лица,Маски одноразовые,Мedical mask,0,0,0,0.0,0.0,0.0,1,,,,,,,,,,,0.0,,,False
147602778,GAMEstick64,Игровая приставка консоль для детей и взрослых портативная,Игровые консоли,Игровая приставка,0,0,0,0.0,0.0,0.0,2,,1.0,,,,,,False,6.8154,3.7863333333333338,0.0,,,False
